INSERT INTO solvent_hazard(solvent_id,hazard_id) VALUES
SOLV-00001,H225
SOLV-00001,H319
SOLV-00001,H336
SOLV-00002,H225
SOLV-00002,H304
SOLV-00002,H315
SOLV-00002,H319
SOLV-00002,H340
SOLV-00002,H350
SOLV-00002,H372
SOLV-00002,H412
SOLV-00003,H302
SOLV-00003,H332
SOLV-00003,H317
SOLV-00003,H319
SOLV-00003,H332
SOLV-00004,H302
SOLV-00004,H302
SOLV-00004,H317
SOLV-00004,H319
SOLV-00004,H332
SOLV-00005,H226
SOLV-00005,H302
SOLV-00005,H331
SOLV-00005,H360FD
SOLV-00006,H226
SOLV-00006,H302
SOLV-00006,H312
SOLV-00006,H332
SOLV-00006,H360FD
SOLV-00007,H302
SOLV-00007,H315
SOLV-00007,H319
SOLV-00007,H331
SOLV-00007,H336
SOLV-00007,H351
SOLV-00007,H361D
SOLV-00007,H372
SOLV-00008,H225
SOLV-00008,H304 
SOLV-00008,H315
SOLV-00008,H336
SOLV-00008,H410
SOLV-00009,H226
SOLV-00009,H302
SOLV-00009,H312
SOLV-00009,H332
SOLV-00009,H315
SOLV-00009,H318
SOLV-00009,H335
SOLV-00010,H226
SOLV-00010,H319
SOLV-00010,H335
SOLV-00010,H361 
SOLV-00011,H225
SOLV-00011,H302
SOLV-00011,H331
SOLV-00011,H315
SOLV-00011,H319
SOLV-00011,H350
SOLV-00011,H335
SOLV-00011,H304  
SOLV-00012,H226
SOLV-00012,H312
SOLV-00012,H332
SOLV-00012,H319
SOLV-00012,H360D
SOLV-00013,H225
SOLV-00013,H319
SOLV-00014,H225
SOLV-00014,H319
SOLV-00014,H336
SOLV-00015,H225
SOLV-00015,H304
SOLV-00015,H315
SOLV-00015,H336
SOLV-00015,H400
SOLV-00015,H410
SOLV-00016,H225
SOLV-00016,H304
SOLV-00016,H315
SOLV-00016,H336
SOLV-00016,H361f
SOLV-00016,H372
SOLV-00016,H411
SOLV-00017,H226
SOLV-00018,H225
SOLV-00018,H319
SOLV-00018,H336
SOLV-00019,H225
SOLV-00019,H301
SOLV-00019,H311
SOLV-00019,H331
SOLV-00019,H370
SOLV-00020,H225
SOLV-00020,H319
SOLV-00020,H332
SOLV-00020,H336
SOLV-00020,H351
SOLV-00021,H315
SOLV-00021,H319
SOLV-00021,H336
SOLV-00021,H351
SOLV-00022,H225
SOLV-00022,H319
SOLV-00022,H336
SOLV-00023,H226
SOLV-00023,H304
SOLV-00023,H315
SOLV-00023,H319
SOLV-00023,H336
SOLV-00023,H411
SOLV-00024,H225
SOLV-00024,H304
SOLV-00024,H315
SOLV-00024,H336
SOLV-00024,H410
SOLV-00025,H225
SOLV-00025,H318
SOLV-00025,H336
SOLV-00026,H225
SOLV-00026,H302
SOLV-00026,H312
SOLV-00026,H315
SOLV-00026,H319
SOLV-00026,H332
SOLV-00027,H225
SOLV-00027,H302
SOLV-00027,H319
SOLV-00027,H335
SOLV-00027,H336
SOLV-00027,H351
SOLV-00028,H225
SOLV-00028,H304
SOLV-00028,H315
SOLV-00028,H336
SOLV-00028,H361D
SOLV-00028,H373
SOLV-00028,H412
SOLV-00029,H332
SOLV-00029,H350
SOLV-00029,H402
SOLV-00029,H420
SOLV-00030,H226
SOLV-00030,H304
SOLV-00030,H316
SOLV-00030,H319
SOLV-00030,H335
SOLV-00030,H361
SOLV-00030,H372
SOLV-00030,H411
SOLV-00031,H225
SOLV-00031,H304
SOLV-00031,H315
SOLV-00031,H336
SOLV-00031,H411
SOLV-00032,NULL
SOLV-00033m,H226
SOLV-00033m,H304
SOLV-00033m,H312
SOLV-00033m,H315
SOLV-00033m,H319
SOLV-00033m,H332
SOLV-00033m,H335
SOLV-00033o,H226
SOLV-00033o,H304
SOLV-00033o,H312
SOLV-00033o,H315
SOLV-00033o,H319
SOLV-00033o,H332
SOLV-00033o,H335
SOLV-00033p,H226
SOLV-00033p,H304
SOLV-00033p,H312
SOLV-00033p,H315
SOLV-00033p,H319
SOLV-00033p,H332
SOLV-00033p,H335
