hazard_id,p_code,
HAZ-00035,P264,
HAZ-00035,P270,
HAZ-00035,P301,
HAZ-00035,P310,
HAZ-00035,P321,
HAZ-00035,P330,
HAZ-00035,P405,
HAZ-00035,P501,
HAZ-00036,P264,
HAZ-00036,P270,
HAZ-00036,P301,
HAZ-00036,P312,
HAZ-00036,P330,
HAZ-00036,P501,
HAZ-00041,P280,
HAZ-00041,P302 ,
HAZ-00041,P352,
HAZ-00041,P312,
HAZ-00041,P322,
HAZ-00041,P361,
HAZ-00041,P363,
HAZ-00041,P405,
HAZ-00041,P501,
HAZ-00042,P280,
HAZ-00042,P302,
HAZ-00042,P352,
HAZ-00042,P312,
HAZ-00042,P322,
HAZ-00042,P363,
HAZ-00042,P501,
HAZ-00045,P264,
HAZ-00045,P280,
HAZ-00045,P302,
HAZ-00045,P352,
HAZ-00045,P321,
HAZ-00045,P332 ,
HAZ-00045,P313,
HAZ-00045,P362,
HAZ-00046,P332,
HAZ-00046,P313,
HAZ-00047,P261,
HAZ-00047,P272,
HAZ-00047,P280,
HAZ-00047,P302,
HAZ-00047,P352,
HAZ-00047,P332,
HAZ-00047,P313,
HAZ-00047,P321,
HAZ-00047,P363,
HAZ-00047,P501,
HAZ-00048,P280,
HAZ-00048,P305 ,
HAZ-00048,P351,
HAZ-00048,P338,
HAZ-00048,P310,
HAZ-00049,P264,
HAZ-00049,P280,
HAZ-00049,P305,
HAZ-00049,P351,
HAZ-00049,P338,
HAZ-00049,P337 ,
HAZ-00049,P313,
HAZ-00052,P261,
HAZ-00052,P271,
HAZ-00052,P304 ,
HAZ-00052,P340,
HAZ-00052,P311,
HAZ-00052,P321,
HAZ-00052,P403 ,
HAZ-00052,P233,
HAZ-00052,P405,
HAZ-00052,P501,
HAZ-00053,P261,
HAZ-00053,P271,
HAZ-00053,P304,
HAZ-00053,P340,
HAZ-00053,P312,
HAZ-00057,P261,
HAZ-00057,P271,
HAZ-00057,P304,
HAZ-00057,P340,
HAZ-00057,P312,
HAZ-00057,P403,
HAZ-00057,P233,
HAZ-00057,P405,
HAZ-00057,P501,
HAZ-00061,P201,
HAZ-00061,P202,
HAZ-00061,P281,
HAZ-00061,P308 ,
HAZ-00061,P313,
HAZ-00061,P405,
HAZ-00061,P501,
HAZ-00063,P201,
HAZ-00063,P202,
HAZ-00063,P281,
HAZ-00063,P308,
HAZ-00063,P313,
HAZ-00063,P405,
HAZ-00063,P501,
HAZ-00065,P260,
HAZ-00065,P264,
HAZ-00065,P270,
HAZ-00065,P307 ,
HAZ-00065,P311,
HAZ-00065,P321,
HAZ-00065,P405,
HAZ-00065,P501,
HAZ-00067,P260,
HAZ-00067,P264,
HAZ-00067,P270,
HAZ-00067,P314,
HAZ-00067,P501,
HAZ-00068,P260,
HAZ-00068,P314,
HAZ-00068,P501,
HAZ-00069,P273,
HAZ-00069,P391,
HAZ-00069,P501,
HAZ-00072,P273,
HAZ-00073,P391,
HAZ-00074,P501,
HAZ-00076,P502,
